vendorCode,legalName,category_L1,category_L2,category_L3,category_L4,address,country,contactPerson,isActive,financialHealth,paymentTerms,masterContractId,lastAnnualRevenue,riskScore
SUP-fd33c2ae,Netherlands Print Solutions,Indirect Services and Materials,Facility Services,Office Supplies & Services,Print & Copy Services,Jetpad 212 4577ID Urmond,Netherlands,Johannes van der Meer,True,Low,Net 90,CTR-cdcc850ca7,0.0,0.0
SUP-c4566fea,PostOrganize GmbH,Indirect Services and Materials,Facility Services,Office Supplies & Services,Mail & Document Management,Säuberlichstraße 46 87603 Göttingen,Germany,Anna Müller,False,Medium,Net 60,CTR-e65f65e0e1,0.0,25.0
SUP-9bda861c,GreenGarden Solutions GmbH,Indirect Services and Materials,Facility Services,Facility Management,Landscaping & Groundskeeping,Bruno-Reinhardt-Weg 6 64359 Neunburg vorm Wald,Germany,Anna Müller,True,Low,Net 90,CTR-e15767872d,0.0,15.0
SUP-eeacc84e,Versicherungs-Service GmbH,Indirect Services and Materials,Corporate & Professional Services,Financial Services,"Insurance (Property, Liability, Health, Travel)",Edda-Gutknecht-Ring 5/7 90486 Güstrow,Germany,Anna Schmidt,True,Low,Net 60,CTR-ab8bda30da,0.0,15.0
SUP-1be22e89,CloudSphere Hosting Solutions GmbH,Indirect Services and Materials,IT & Technology,IT Services & Telecom,"Cloud & Hosting (IaaS, PaaS, SaaS)",August-auch Schlauchin-Weg 8-8 71774 Cottbus,Germany,Anna Müller,True,Low,Net 90,CTR-89211a91c2,0.0,15.0
SUP-329c9fd8,Global Network Solutions Perú S.A.,Indirect Services and Materials,IT & Technology,Hardware,"Networking (Routers, Switches, Firewalls)","Vial Trinidad Rodrigo 33 Puerta 0 Toledo, 48182",Peru,Carlos Mendez,True,Low,Net 90,CTR-46c56d2389,0.0,15.0
SUP-79a6f4b4,Inventura IP Solutions,Indirect Services and Materials,Corporate & Professional Services,Legal Services,Intellectual Property & Patents,"49, boulevard Marques 43378 RobertVille",France,Jean Dupont,True,Medium,Net 30,CTR-c41e80144e,0.0,10.0
SUP-3ab4b4af,Recycling Plus GmbH,Indirect Services and Materials,Facility Services,Real Estate & Utilities,Waste Management & Recycling,van der Dussenstr. 16/24 77215 Bad Brückenau,Germany,Anna Müller,True,Low,Net 30,CTR-c2daa22a23,519.43,15.0
SUP-f111fdd1,PR Solutions GmbH,Indirect Services and Materials,Marketing & Sales,Marketing & Advertising,Public Relations (PR) Firms,Eberhardtstr. 3/3 44611 Bersenbrück,Germany,Anna Schmidt,True,Low,Net 60,CTR-a13ff4983b,67044.29,15.0
SUP-a18388f5,Banking & Treasury Solutions GmbH,Indirect Services and Materials,Corporate & Professional Services,Financial Services,Banking & Treasury Services,Hillergasse 28/60 02039 Plauen,Germany,Anna Müller,True,Low,Net 30,CTR-41f9684029,322994.93,15.0
SUP-62adab5f,Mitteldeutscher Lagerbauunternehmen für Lager und Zahnräder,Direct Materials,Components & Sub-Assemblies,Mechanical Components,Bearings & Gears,Mijo-Hertrampf-Allee 1 47350 Hannoversch Münden,Germany,Anna Schneider,True,Low,Net 90,CTR-581c328faf,268766.61,40.0
SUP-460a19bc,Lemgo Industrial Equipment GmbH,Technical Materials,Manufacturing Equipment,Material Handling Equipment,Forklifts & Pallet Jacks,Wulfgasse 58 59021 Lemgo,Germany,Anna Becker,True,Low,Net 30,CTR-a86a51a96f,28634.57,25.0
SUP-9ff94fc5,GoldenTreasures Romania,Direct Materials,Raw Materials,Metals & Minerals,"Precious Metals (Gold, Silver)","Aleea Petrică Florea Nr. 95 Insuratei, 730081",Romania,Ana Maria Ivan,True,Low,Net 90,,43087.64,25.0
SUP-8cce4e62,TechGrind Abrasives GmbH,Technical Materials,"MRO (Maintenance, Repair & Operations)",Industrial Consumables,Abrasives & Welding Supplies,Steyallee 7 94632 Backnang,Germany,Anna Müller,True,Low,Net 90,CTR-3a8152d79a,127596.08,40.0
SUP-42cfd855,Metallindustrie GmbH,Direct Materials,Raw Materials,Metals & Minerals,"Ferrous Metals (Steel, Iron)",Wibke-Ring-Allee 67/43 97726 Freudenstadt,Germany,Anna Schmidt,True,Medium,Net 90,CTR-65399a47a8,0.0,25.0
SUP-1cbd05e3,Sicherhandschuhe GmbH,Technical Materials,"MRO (Maintenance, Repair & Operations)",Safety & PPE (Personal Protective Equipment),"Safety Gloves, Goggles & Hard Hats",Eugen-Mende-Straße 13-79 68774 Augsburg,Germany,Anna Schneider,True,Low,Net 90,CTR-7d56c33ab2,0.0,15.0
SUP-38a0925a,Greece Inventory Solutions,Indirect Services and Materials,Logistics,Warehousing & Distribution,Inventory Management Systems,"Σοκολάκη 305, 367 09 Καλαμάτα",Greece,Maria Georgiou,True,Low,Net 90,CTR-1456440a88,18841.12,0.0
SUP-1368db15,TechSolutions GmbH,Indirect Services and Materials,IT & Technology,Software,"Enterprise Applications (ERP, CRM, SCM)",Dieter-Römer-Straße 89/76 56524 Helmstedt,Germany,Anna Müller,True,Medium,Net 30,CTR-a8735e2d16,11703.34,25.0
SUP-cdc1dd6c,Innovative Sales Solutions Ltd,Indirect Services and Materials,Marketing & Sales,Sales Support,Sales Incentive & Reward Programs,"3939 Gailys Trail New Justasville, GA 83033",Lithuania,John Michael Smith,True,High,Net 30,,40626.53,25.0
SUP-5e00475d,EnergieManagement GmbH,Indirect Services and Materials,Facility Services,Real Estate & Utilities,Energy Management & Sustainability Services,Mary-Gertz-Ring 1530 80029 Borken,Germany,Anna Schmidt,True,Low,Net 60,,0.0,15.0
SUP-6b4d2434,SecureTech Access Solutions GmbH,Indirect Services and Materials,Facility Services,Security Services,Access Control Systems,Pechelallee 4 71755 Schwabmünchen,Germany,Anna Müller,True,Low,Net 30,CTR-087150ea10,0.0,15.0
SUP-4b7962ab,Sunny Harvest Grains Ltd.,Direct Materials,Raw Materials,Agricultural Products,Grains & Cereals,"PSC 5238, Box 7032 APO AP 27300",Singapore,Amanda Lee,True,Low,Net 60,CTR-d1c910546b,0.0,10.0
SUP-11f43e04,LogiMax Parcel Services GmbH,Indirect Services and Materials,Logistics,Transportation & Freight,Parcel & Courier Services,Pruschkeweg 9 21846 Hainichen,Germany,Anna Müller,True,High,Net 30,CTR-0f825be090,90168.32,40.0
SUP-cfd3757b,CleanPro Deutschland GmbH,Indirect Services and Materials,Facility Services,Facility Management,Janitorial & Cleaning Services,Ortmanngasse 51 12722 Ebermannstadt,Germany,Anna Becker,True,Low,Net 30,CTR-d19a1e8164,0.0,15.0
SUP-7e6cfcb7,SecureNet Solutions,Indirect Services and Materials,IT & Technology,IT Services & Telecom,"Cybersecurity Services (Pen Testing, Monitoring, SOC)","Strada Dochioiu Nr. 90 Petrosani, 581112",Romania,Marius Ivan,False,Low,Net 30,,31743.26,0.0
SUP-b7b58ac3,Altes Lager GmbH,Indirect Services and Materials,Logistics,Warehousing & Distribution,Warehouse Rental & Storage,Gordana-Kabus-Allee 98 42104 Finsterwalde,Germany,Max Mustermann,True,Low,Net 60,CTR-7c7a67da04,0.0,15.0
SUP-0a42d65e,CleanPro Solutions Inc.,Indirect Services and Materials,Facility Services,Facility Management,Janitorial & Cleaning Services,"7276 Chang Fork Goldenmouth, SD 02909",United States,Johnathan Smith,True,Low,Net 60,,72878.57,0.0
SUP-e4f3c01f,Servidora Técnica de Sistemas Climáticos SA,Indirect Services and Materials,Facility Services,Facility Management,Building Maintenance & HVAC,"Avenida 9 N° 45 Merlo 5881, San Luis",Argentina,Dr. Ana María Gómez del Valle,True,Medium,Net 60,CTR-396ec5675e,0.0,25.0
SUP-c5ec5f86,SafetyGear Perú S.A.,Technical Materials,"MRO (Maintenance, Repair & Operations)",Safety & PPE (Personal Protective Equipment),Fall Protection & Respiratory Gear,"Cañada de Andrea Codina 54 Albacete, 35102",Peru,Carlos Mendez,True,Low,Net 30,,34127.49,15.0
SUP-96fa8b29,Tunisian Payment Solutions,Indirect Services and Materials,Corporate & Professional Services,Financial Services,Payment Processing,"88, rue de Turpin 85206 Launay",Tunisia,Ahmed Ben Salah,True,Medium,Net 30,CTR-6625ffa517,112919.94,40.0
SUP-e9ae7d44,Tempomat Deutschland GmbH,Indirect Services and Materials,Facility Services,Facility Management,Building Maintenance & HVAC,Tlustekstraße 34/84 30119 Parchim,Germany,Anna Schneider,True,Low,Net 60,CTR-697b9a381e,0.0,15.0
SUP-8f15cda7,CleanPro Deutschland GmbH,Indirect Services and Materials,Facility Services,Facility Management,Janitorial & Cleaning Services,Reinhart-Staude-Allee 609 77679 Pinneberg,Germany,Anna Schmidt,False,High,Net 90,,101084.44,40.0
SUP-71f27d25,EcoPower Solutions GmbH,Indirect Services and Materials,Facility Services,Real Estate & Utilities,Energy Management & Sustainability Services,Ilhan-Hörle-Weg 659 58533 Brandenburg,Germany,Anna Müller,True,Medium,Net 90,CTR-aacab4e651,0.0,25.0
SUP-3037027d,TrackView Analytics GmbH,Indirect Services and Materials,Marketing & Sales,Market Research,Brand Tracking & Analytics,Bärerplatz 55-13 64396 Mühldorf am Inn,Germany,Anna Müller,True,Medium,Net 90,CTR-fb548fc484,20593.82,25.0
SUP-78d16a29,Gesellschaft für Spezialstahl GmbH,Direct Materials,Raw Materials,Metals & Minerals,"Ferrous Metals (Steel, Iron)",Klaudia-Junck-Weg 50 18329 Germersheim,Germany,Klaudia Junck,True,Low,Net 60,CTR-22419e3865,0.0,25.0
SUP-ac4503a0,Recycling Solutions GmbH,Indirect Services and Materials,Facility Services,Real Estate & Utilities,Waste Management & Recycling,Lachmannplatz 13-54 68928 Wittstock,Germany,Anna Müller,True,Low,Net 30,CTR-ea152774ec,916.9200000000001,15.0
SUP-f3336771,TechNexus Solutions GmbH,Indirect Services and Materials,IT & Technology,IT Services & Telecom,IT Consulting & Implementation,Wolf-Dieter-Oderwald-Allee 0 85633 Bamberg,Germany,Anna Müller,True,Low,Net 60,CTR-611fa49060,0.0,15.0
SUP-60675870,Auer Castings GmbH,Direct Materials,Components & Sub-Assemblies,Fabricated Parts,Castings & Forgings,Truppallee 264 85201 Aue,Germany,Max Mustermann,True,Low,Net 90,CTR-f9237725be,0.0,15.0
SUP-fcee5807,InnoTech Solutions Sp. z o.o.,Indirect Services and Materials,IT & Technology,IT Services & Telecom,IT Consulting & Implementation,ulica Dąbrowskiej 491 56-970 Bytom,Poland,Anna Kowalczyk,True,Low,Net 90,CTR-c820f43f78,0.0,0.0
SUP-dac36b63,Adidas Deutschland GmbH,Indirect Services and Materials,Marketing & Sales,Marketing & Advertising,Sponsorships & Partnerships,Nuray-Trommler-Platz 5-3 54432 Dachau,Germany,Thomas Schmidt,True,Medium,Net 90,CTR-8744f03693,23516.18,25.0
SUP-11b505a9,Contabilidade e Consultoria Ltda.,Indirect Services and Materials,Corporate & Professional Services,Financial Services,"Audit, Tax & Advisory Services","Av de Nogueira, 17 4236-393 Amora",Portugal,Maria Silva,True,High,Net 60,,3917.22,25.0
SUP-37e8fdb6,Hechingen Logistics Solutions GmbH,Indirect Services and Materials,Logistics,Warehousing & Distribution,Warehouse Rental & Storage,Börnerstr. 75 24491 Hechingen,Germany,Anna Müller,True,Low,Net 30,CTR-ce39c8e1bc,3522.19,15.0
SUP-e3b094e6,MediaMeldr Media Buying GmbH,Indirect Services and Materials,Marketing & Sales,Marketing & Advertising,"Media Buying (Print, Broadcast, Digital)",Keudelweg 4639 18188 Neustadt am Rübenberge,Germany,Anna Müller,True,Medium,Net 60,,81551.77,25.0
SUP-4e48d2a1,Celebrate Ireland Productions,Indirect Services and Materials,Marketing & Sales,Events & Promotions,Event Management & Production,27 Sheehy Street T27 CK2C Saul Ville,Ireland,Sarah O'Connor,True,Low,Net 90,,91758.48999999999,0.0
SUP-f09f82c8,NetConnect Solutions Ltd.,Indirect Services and Materials,IT & Technology,Hardware,"Networking (Routers, Switches, Firewalls)","480 Victoria Keys Danielchester, VT 72635",Nigeria,Oluwakayode Adeyanju,True,Low,Net 30,CTR-d80759bd7d,94035.93,30.0
SUP-b9b06e8a,Möbelhaus Wien,Indirect Services and Materials,Facility Services,Office Supplies & Services,Office Furniture & Fixtures,Diana-Fröhlich-Straße 633 4382 Mureck,Austria,Erika Weber,True,Low,Net 30,CTR-27b0fdde62,0.0,0.0
SUP-5abfa819,StockFlow Solutions ApS,Indirect Services and Materials,Logistics,Warehousing & Distribution,Inventory Management Systems,Scherfigsvej 607 5402 Tappernøje,Denmark,Pia Andersen,True,Low,Net 60,,7023.16,0.0
SUP-7efe2739,OptiStock Solutions GmbH,Indirect Services and Materials,Logistics,Warehousing & Distribution,Inventory Management Systems,Heidi-Kobelt-Ring 3/1 56337 Hünfeld,Germany,Anna Müller,True,Low,Net 60,CTR-69517a77bf,0.0,15.0
SUP-f5e2bccc,ClariClean GmbH,Technical Materials,"MRO (Maintenance, Repair & Operations)",Industrial Consumables,Cleaning Agents & Janitorial Supplies,Eugen-Mans-Weg 62-56 35032 Lüdinghausen,Germany,Anna Schmidt,True,Low,Net 30,CTR-582f400036,10150.68,15.0
SUP-b696b2db,TechNova Solutions,Indirect Services and Materials,IT & Technology,Software,"Enterprise Applications (ERP, CRM, SCM)","137 Alexander Centers Apt. 543 Titovfort, ME 18614",Estonia,Sven Jahn,True,Low,Net 30,CTR-1a687507ed,222564.8,0.0
SUP-c62a86b0,Norwegian Payroll Solutions AS,Indirect Services and Materials,Corporate & Professional Services,Human Resources Services,Payroll & Benefits Administration,"Thorsenskogen 86, 4872 Svendsen",Norway,Anna Larsen,True,Medium,Net 90,,0.0,10.0
SUP-b37e9892,Zentrale Logistik GmbH,Indirect Services and Materials,Marketing & Sales,Sales Support,Merchandising Services,Schmidtkeweg 14-72 16939 Cuxhaven,Germany,Anna Wagner,True,Low,Net 60,CTR-55d91637ed,26400.1,15.0
SUP-50677ff3,Hochqualifizierte Arbeitskräfte GmbH,Indirect Services and Materials,Corporate & Professional Services,Human Resources Services,"Recruitment & Staffing (Permanent, Temporary)",Emine-Schleich-Weg 61-72 24116 Göttingen,Germany,Oliver Schneider,True,Medium,Net 60,CTR-90242579a5,4053.49,25.0
SUP-89b45c18,Kempelen Catering Solutions OY,Indirect Services and Materials,Facility Services,Office Supplies & Services,Catering & Vending Services,Döbelninkatu 24 56290 Kempele,Finland,Jarmo Lehtinen,False,Medium,Net 30,CTR-9eb3081379,0.0,10.0
SUP-5a5f9ad7,Influencer Media Solutions Greece,Indirect Services and Materials,Marketing & Sales,Marketing & Advertising,Influencer & Social Media Marketing,"Τσαμπαλή 524, ΤΚ 961 26 Τρίκαλα",Greece,Ioannis Papathanassiou,True,High,Net 90,CTR-9cac1c4178,23360.870000000003,25.0
SUP-2ff4f7d2,MetricInsight GmbH,Indirect Services and Materials,Marketing & Sales,Market Research,Brand Tracking & Analytics,Ellinor-Bauer-Straße 78-89 81895 Neustrelitz,Germany,Anna Müller,True,Medium,Net 30,CTR-0c2029d64e,48255.81,25.0
SUP-1c1f6dae,Krabbendijke Property Solutions,Indirect Services and Materials,Facility Services,Real Estate & Utilities,Property Leases & Rent,Majabaan 060 7444 GZ Krabbendijke,Netherlands,Anna Van der Meer,True,Low,Net 60,CTR-061f160ac8,16913.32,0.0
SUP-6e47b815,CloudHosting Solutions GmbH,Indirect Services and Materials,IT & Technology,IT Services & Telecom,"Cloud & Hosting (IaaS, PaaS, SaaS)",Metzgasse 25-71 66576 Neustadtner Waldnaab,Germany,Anna Müller,True,Medium,Net 60,CTR-0f7ef482d4,0.0,25.0
SUP-aa8f814b,CleanPro Solutions Ltd.,Indirect Services and Materials,Facility Services,Facility Management,Janitorial & Cleaning Services,"271 Dawn Island Suite 529 East Jessicaside, NC 73486",Malaysia,Mohammed Ali,True,High,Net 90,,6316.23,40.0
SUP-2c715b02,Asociación Venezolana de Patrocinios y Asociaciones,Indirect Services and Materials,Marketing & Sales,Marketing & Advertising,Sponsorships & Partnerships,"Urbanización de Octavio Donoso 122 Salamanca, 10190",Venezuela,Juan Carlos Méndez López,True,Low,Net 30,CTR-94e6213acd,112701.51000000001,15.0
SUP-9ee27092,InfraCloud Solutions SAS,Indirect Services and Materials,IT & Technology,IT Services & Telecom,"Cloud & Hosting (IaaS, PaaS, SaaS)",rue Jean Dufour 20951 Munozdan,France,Jean-Michel Dubois,True,Medium,Net 90,CTR-ef9943c4f6,0.0,10.0
SUP-9e5bb3c9,Herma-Industrial Solutions GmbH,Technical Materials,"MRO (Maintenance, Repair & Operations)",Spare Parts,"General Industrial Spares (Valves, Belts)",Herma-Jessel-Allee 3 83832 Klötze,Germany,Anna Schmidt,False,High,Net 60,CTR-b2959a56e9,162760.37,40.0
SUP-a9a0ed13,GartenHermann GmbH,Indirect Services and Materials,Facility Services,Facility Management,Landscaping & Groundskeeping,Hans-Hermann-Pergande-Weg 22 14078 Schleiz,Germany,Max Mustermann,True,Low,Net 60,CTR-c5cc8da6d3,0.0,15.0
SUP-fa34a6f6,Polish Road Transport Solutions Sp. z o.o.,Indirect Services and Materials,Logistics,Transportation & Freight,"Road Freight (FTL, LTL)",aleja Stefana Batorego 492 91-687 Malbork,Poland,Anna Kowalska,True,High,Net 90,CTR-1d0b3d4f3a,52990.19,25.0
SUP-9dbd673b,Slovak HVAC Solutions Ltd.,Indirect Services and Materials,Facility Services,Facility Management,Building Maintenance & HVAC,Muchovo námestie 38 856 07 Mokrá Lúka,Slovakia,Ján Kováč,True,Low,Net 60,,0.0,0.0
SUP-37ef0048,SecureGuard Argentino S.A.,Indirect Services and Materials,Facility Services,Security Services,Access Control Systems,"Av. J.J. Castelli N° 3658 Ushuaia 9410, Tierra del Fuego",Argentina,Luisa Fernanda Montiel,True,High,Net 30,,152604.31,40.0
SUP-9c67b3ff,Hungarian Influencer Solutions,Indirect Services and Materials,Marketing & Sales,Marketing & Advertising,Influencer & Social Media Marketing,Fürdővárosi utca 240. H-5707 Pusztaligetnémeti,Hungary,Anna Kovacs,True,Low,Net 90,CTR-c58ee99e59,170480.1,0.0
SUP-bfd5f936,Perleberg Audit GmbH,Indirect Services and Materials,Corporate & Professional Services,Financial Services,"Audit, Tax & Advisory Services",Bienstr. 1 56613 Perleberg,Germany,Anna Schmidt,True,Medium,Net 90,CTR-7d22e05c51,0.0,25.0
SUP-0681f819,Precision Castings GmbH,Direct Materials,Components & Sub-Assemblies,Fabricated Parts,Castings & Forgings,Girschnerallee 9/1 10088 Weißwasser,Germany,Anna Müller,True,Low,Net 60,CTR-45e40fa483,0.0,15.0
SUP-b698c816,TechMaster Solutions GmbH,Indirect Services and Materials,IT & Technology,Hardware,"End-User Computing (Laptops, Desktops, Monitors)",Fritz-Weller-Platz 61-34 72464 Ebern,Germany,Anna Müller,True,Low,Net 60,CTR-081495707c,65233.759999999995,15.0
SUP-3eff77c5,SecuCom Deutschland GmbH,Indirect Services and Materials,IT & Technology,Software,Security & Compliance Software,Frida-Huhn-Gasse 34 11853 Hannoversch Münden,Germany,Anna Schmidt,True,Medium,Net 30,CTR-b2e5211ab9,0.0,25.0
SUP-cde220da,Kelheim Office Solutions GmbH,Indirect Services and Materials,Facility Services,Office Supplies & Services,Office Furniture & Fixtures,Marijan-Oestrovsky-Straße 29-70 74544 Kelheim,Germany,Anna Müller,True,Low,Net 90,CTR-708c3ee79f,0.0,15.0
SUP-19e87738,OptiView Audiovisual Solutions Sp. z o.o.,Indirect Services and Materials,IT & Technology,Hardware,"Audio/Visual Equipment (Projectors, Conferencing Systems)",ulica Czereśniowa 609 03-872 Chojnice,Poland,Anna Nowak,True,Medium,Net 60,CTR-6820899084,0.0,10.0
SUP-d2271c71,TechPortugal Solutions,Indirect Services and Materials,IT & Technology,Hardware,"End-User Computing (Laptops, Desktops, Monitors)","R. Matias, 80 0226-842 Rio Tinto",Portugal,Maria Silva,True,Low,Net 90,,272338.16000000003,0.0
SUP-1ad4168d,RoboTech Industrial Solutions,Technical Materials,Manufacturing Equipment,Production Machinery,Assembly Line Automation & Robotics,"Av. carrera 4ª # 3-6 155526 Chíquiza, Boyacá",Colombia,Carlos Mendez,False,Medium,Net 60,CTR-12e39f92ae,207098.83,65.0
SUP-7c4f57ca,Slovak Glassware & Plasticware,Technical Materials,R&D and Laboratory,Lab Supplies,Glassware & Plasticware,Poľská 3 938 88 Vojtovce,Slovakia,Ján Novák,True,Medium,Net 90,,524778.87,10.0
SUP-4269b5bf,Seifert AG,Indirect Services and Materials,Facility Services,Office Supplies & Services,Print & Copy Services,Karla-Schacht-Allee 4028 99644 Soest,Germany,Karsten Müller,True,Low,Net 60,CTR-869bf3670a,0.0,15.0
SUP-19374221,GreenSolutions Consulting GmbH,Indirect Services and Materials,Corporate & Professional Services,Consulting,Environmental & Sustainability Consulting,van der Dussenallee 7-7 36336 Düren,Germany,Anna Müller,True,Low,Net 30,CTR-80ac890945,0.0,15.0
SUP-92401df4,Sunburst Creative Studios GmbH,Indirect Services and Materials,Marketing & Sales,Marketing & Advertising,"Creative, Content & Branding Agencies",Scheelweg 57-99 32869 Berchtesgaden,Germany,Anna Schmidt,True,High,Net 60,CTR-ebc161f6ad,81014.1,40.0
SUP-0ce4837e,TechElectro Solutions GmbH,Direct Materials,Components & Sub-Assemblies,Electronic Components,"Passive Components (Resistors, Capacitors)",Schinkeallee 900 43154 Scheinfeld,Germany,Anna Müller,True,Medium,Net 30,CTR-9125689fe2,60374.25,25.0
SUP-2a2694ed,MietImmobilien GmbH,Indirect Services and Materials,Facility Services,Real Estate & Utilities,Property Leases & Rent,Ruppertallee 29 73838 Wismar,Germany,Anna Becker,True,Low,Net 30,CTR-1674fb613e,0.0,15.0
SUP-79d8ae36,Dachauer Druck & Kopie GmbH,Indirect Services and Materials,Facility Services,Office Supplies & Services,Print & Copy Services,Philippe-Ladeck-Allee 922 13312 Dachau,Germany,Anna Müller,True,Low,Net 60,CTR-6f4c5016cd,0.0,15.0
SUP-167ab8c0,EcoChair Solutions,Indirect Services and Materials,Facility Services,Office Supplies & Services,Office Furniture & Fixtures,75 Maria rapid Port Sara G7A 1TR,United Kingdom,Sarah Thompson,True,Medium,Net 30,CTR-5d1c990bc6,0.0,10.0
SUP-c6f6d2fa,PromoGoods GmbH,Indirect Services and Materials,Marketing & Sales,Events & Promotions,Promotional Goods & Branded Merchandise,Röhrdanzring 70/27 67779 Stade,Germany,Anna Becker,True,Low,Net 60,CTR-8e89f7eb0c,117911.6,15.0
SUP-b6460158,GuardShield Security GmbH,Indirect Services and Materials,Facility Services,Security Services,Manned Guarding,Leila-Karge-Weg 861 54344 Pritzwalk,Germany,Anna Müller,True,Low,Net 30,CTR-0e5b117070,0.0,15.0
SUP-30cceee4,Netzwerk-Spezialisten GmbH,Indirect Services and Materials,IT & Technology,Hardware,"Networking (Routers, Switches, Firewalls)",Blochstr. 865 46446 Neuruppin,Germany,Anna Müller,True,Medium,Net 60,CTR-d9c02fc0fa,4916.88,25.0
SUP-aecccad7,DataInsight GmbH,Indirect Services and Materials,IT & Technology,Software,"Business Intelligence & Analytics (BI, Data Visualization)",Heidi-Hauffer-Ring 0 06366 Miesbach,Germany,Anna Weber,False,Low,Net 90,CTR-7f28cbf699,0.0,15.0
SUP-71b0dbc0,Influence.cz,Indirect Services and Materials,Marketing & Sales,Marketing & Advertising,Influencer & Social Media Marketing,Libuňská 669 639 72 Chlumec,Czech Republic,Jana Novak,False,Low,Net 30,CTR-1d372f0a94,10663.56,0.0
SUP-508fbeab,Optima Soluciones Operativas,Indirect Services and Materials,Corporate & Professional Services,Consulting,Operations & Process Improvement,"Cl. 179X # 95-81 Sur Oficina 3 991190 Cumaribo, Vichada",Colombia,María Elena González Ruiz,True,Low,Net 60,CTR-f511f87188,80455.37,15.0
SUP-d5310ee0,FleetTech Solutions GmbH,Indirect Services and Materials,Logistics,Fleet Management,Telematics & Fleet Tracking,Dussen vanweg 4/3 70982 Badoberan,Germany,Anna Müller,False,Medium,Net 30,CTR-171ab9a4b8,0.0,25.0
SUP-b008d2c3,Globex Mobile Solutions GmbH,Indirect Services and Materials,IT & Technology,Hardware,"Mobile Devices (Tablets, Smartphones, Accessories)",Kerstin-Wesack-Weg 8/4 91605 Heiligenstadt,Germany,Kerstin Wesack,True,Low,Net 90,,0.0,15.0
SUP-7a169ee4,Payroll & Benefits Administration Ltd.,Indirect Services and Materials,Corporate & Professional Services,Human Resources Services,Payroll & Benefits Administration,"Calle de Imelda Ibarra 77 Apt. 69 Girona, 01253",Peru,Carlos Mendez Sanchez,False,Low,Net 60,CTR-7bb23ad7af,0.0,15.0
SUP-f849d59a,EnergieWise GmbH,Indirect Services and Materials,Facility Services,Real Estate & Utilities,Energy Management & Sustainability Services,Hellmuth-Harloff-Platz 2-9 33621 Witzenhausen,Germany,Anna Müller,True,Low,Net 60,CTR-59901625d1,0.0,15.0
SUP-d0ce998e,AuditTech Solutions GmbH,Indirect Services and Materials,Corporate & Professional Services,Financial Services,"Audit, Tax & Advisory Services",Alicja-Misicher-Weg 49 84655 Genthin,Germany,Sophie Becker,True,Low,Net 60,CTR-d3ab7df492,33635.78999999999,15.0
SUP-ba9ca7ce,MotoFlow GmbH,Direct Materials,Components & Sub-Assemblies,Mechanical Components,Motors & Pumps,Kühnertplatz 11/33 90333 Worbis,Germany,Anna Müller,True,Low,Net 90,CTR-2bb78435ab,70727.06,40.0
SUP-c5209502,Croatian Leather Bags Ltd.,Direct Materials,Packaging Materials,Primary Packaging,"Bags, Pouches & Wrappers",Kraljevec 7a 92175 Trogir,Croatia,Ana Petrovic,True,Low,Net 90,CTR-1f470a1ce3,0.0,0.0
SUP-3ffe0cbe,TransEuro Logistics GmbH,Indirect Services and Materials,Logistics,Transportation & Freight,"Road Freight (FTL, LTL)",Trubinplatz 9 96739 Vilsbiburg,Germany,Anna Müller,True,Low,Net 60,CTR-855ecbb798,0.0,15.0
SUP-16903691,Versicherung Plus GmbH,Indirect Services and Materials,Corporate & Professional Services,Financial Services,"Insurance (Property, Liability, Health, Travel)",Steve-Adler-Platz 23/87 99196 Euskirchen,Germany,Anna Schmidt,True,Low,Net 30,,20236.14,15.0
SUP-8eac3ae0,Auto-Maintenance GmbH,Indirect Services and Materials,Logistics,Fleet Management,Vehicle Maintenance & Repair,Jacobring 9/6 85322 Leipziger Land,Germany,Thomas Müller,False,Medium,Net 90,CTR-d492cdf5a6,0.0,25.0
SUP-40323d69,Gala Events GmbH,Indirect Services and Materials,Marketing & Sales,Events & Promotions,Event Management & Production,Bolnbachstr. 1 62718 Gerolzhofen,Germany,Anna Müller,True,Medium,Net 30,,90237.19,25.0
SUP-c7eb900f,Versicherungs- und Anlagengesellschaft GmbH,Indirect Services and Materials,Corporate & Professional Services,Financial Services,"Insurance (Property, Liability, Health, Travel)",Kitzmannplatz 40 14659 Mallersdorf,Germany,Anna Müller,False,Medium,Net 90,CTR-f77cf8dd97,0.0,25.0
SUP-5b644de3,"Πρωτέας Συμπ., Ενεργειακή και Κοσμητική",Direct Materials,Raw Materials,Chemicals,Solvents & Adhesives,"Λουμπούτσκου 99-51, 83134 Μεσολόγγι",Greece,Μιχάλης Αντώνιου,True,Low,Net 30,CTR-150b7505c0,6413.19,0.0
SUP-6adc994a,Estonian Storage Solutions Ltd.,Indirect Services and Materials,Logistics,Warehousing & Distribution,Warehouse Rental & Storage,"503 Heinsoo Stream Lake Valentinashire, RI 65378",Estonia,Andrea Kiviste,True,Medium,Net 90,CTR-f365950d05,0.0,10.0
SUP-095755cc,EggTraining GmbH,Indirect Services and Materials,Marketing & Sales,Sales Support,Sales Training,Desiree-Rogge-Platz 14-19 05664 Eggenfelden,Germany,Anna Fischer,False,Medium,Net 60,CTR-21ac72a886,17663.27,25.0
