riskId,supplierVendorCode,riskType,riskScore,riskDescription,mitigationPlan,riskStatus
RISK-df5577b7,SUP-4f088eae,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-4f088eae is 0.,Diversify suppliers to reduce dependency on a single source.,Active
RISK-0405201f,SUP-4f088eae,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-4f088eae is 0.,Conduct quarterly financial health assessments of suppliers to identify potential risks early.,Active
RISK-70cee2b2,SUP-4f088eae,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-4f088eae is 0.,Implement quarterly spend reviews to identify concentration risks and ensure alignment with company's financial policies.,Active
RISK-0475a6df,SUP-3d2ac9b9,Country Risk,15.0,Country Risk for supplier SUP-3d2ac9b9 is 15.,Conduct thorough due diligence on suppliers in high-risk countries to ensure compliance with ethical standards and local regulations.,Active
RISK-644989bd,SUP-3d2ac9b9,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-3d2ac9b9 is 0.,Diversify suppliers to reduce reliance on single sources and enhance supply chain resilience.,Active
RISK-37ddee3f,SUP-3d2ac9b9,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-3d2ac9b9 is 0.,Conduct quarterly financial health assessments to ensure the supplier maintains strong liquidity and solvency.,Active
RISK-ae5821ef,SUP-3d2ac9b9,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-3d2ac9b9 is 0.,Implement tiered vendor contracts and regular spend reviews to reduce concentration risks.,Active
RISK-01256672,SUP-fdba5ddb,Country Risk,15.0,Country Risk for supplier SUP-fdba5ddb is 15.,Conduct thorough due diligence on the supplier's operations in the country to assess regulatory risks and implement additional compliance monitoring measures.,Active
RISK-737344d1,SUP-fdba5ddb,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-fdba5ddb is 0.,Diversify suppliers to reduce dependency on single sources.,Active
RISK-87253f76,SUP-fdba5ddb,Financial Health Risk,10.0,Financial Health Risk for supplier SUP-fdba5ddb is 10.,Conduct comprehensive financial health assessments and diversify supply sources to mitigate the impact of potential supplier financial health risks.,Active
RISK-91b9e1a5,SUP-fdba5ddb,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-fdba5ddb is 0.,Diversify suppliers across geographies and business units to reduce concentration risk.,Active
RISK-58284589,SUP-6d854a01,Country Risk,0.0,Country Risk for supplier SUP-6d854a01 is 0.,Enhance due diligence processes by conducting regular reviews of the country's regulatory environment and geopolitical stability to ensure compliance and minimize exposure.,Active
RISK-7cb7a4fc,SUP-6d854a01,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-6d854a01 is 0.,Diversify suppliers to reduce dependency on any single source.,Active
RISK-e160a356,SUP-6d854a01,Financial Health Risk,10.0,Financial Health Risk for supplier SUP-6d854a01 is 10.,Develop a contingency plan.,Active
RISK-07e3029e,SUP-6d854a01,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-6d854a01 is 0.,Implement real-time spend monitoring to quickly identify concentration risks and reduce exposure by diversifying suppliers.,Active
RISK-099708a7,SUP-754d139a,Country Risk,15.0,Country Risk for supplier SUP-754d139a is 15.,Conduct regular due diligence on suppliers in countries with high scores to ensure compliance with ethical standards and regulatory requirements.,Active
RISK-c20227d5,SUP-754d139a,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-754d139a is 0.,Diversify suppliers to reduce reliance on any single source.,Active
RISK-dc33fbd0,SUP-754d139a,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-754d139a is 0.,"Conduct quarterly financial health assessments to monitor the supplier's liquidity, solvency, and profitability.",Active
RISK-6ef86f30,SUP-754d139a,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-754d139a is 0.,Diversify supplier base to reduce spend concentration risk.,Active
RISK-7e34986e,SUP-bee0e0ee,Country Risk,15.0,Country Risk for supplier SUP-bee0e0ee is 15.,Implement stringent due diligence on local business practices and political stability to minimize exposure.,Active
RISK-1cca24e3,SUP-bee0e0ee,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-bee0e0ee is 0.,Diversify suppliers to reduce dependency on single sources.,Active
RISK-e202ba72,SUP-bee0e0ee,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-bee0e0ee is 0.,Conduct regular credit checks and financial health assessments on the supplier to ensure they maintain a strong financial position.,Active
RISK-9471d459,SUP-bee0e0ee,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-bee0e0ee is 0.,Implement strict approval workflows for high-value transactions to minimize spend concentration risks.,Active
RISK-f1a63d77,SUP-e5abfbe7,Country Risk,0.0,Country Risk for supplier SUP-e5abfbe7 is 0.,Conduct regular geopolitical assessments to identify potential country risks and develop contingency plans accordingly.,Active
RISK-91e30a65,SUP-e5abfbe7,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-e5abfbe7 is 0.,Diversify suppliers to reduce dependency on single sources.,Active
RISK-add52c62,SUP-e5abfbe7,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-e5abfbe7 is 0.,Conduct quarterly financial health assessments to identify any potential liquidity issues.,Active
RISK-283f604c,SUP-e5abfbe7,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-e5abfbe7 is 0.,Diversify suppliers to reduce concentration risk.,Active
RISK-e73fbdf4,SUP-50d93a9f,Country Risk,15.0,Country Risk for supplier SUP-50d93a9f is 15.,Conduct thorough due diligence on local regulations and partner with trusted regional suppliers to reduce country risk score from 15.,Active
RISK-8b2a721b,SUP-50d93a9f,Single Sourcing Risk,25.0,Single Sourcing Risk for supplier SUP-50d93a9f is 25.0.,"Diversify suppliers to reduce reliance on a single source, thereby mitigating the risk associated with a high-scoring single sourcing risk (score: 25.0).",Active
RISK-2d306e5d,SUP-50d93a9f,Financial Health Risk,10.0,Financial Health Risk for supplier SUP-50d93a9f is 10.,"Conduct thorough due diligence on financial health, verify solvency through credit checks and review of recent financial statements.",Active
RISK-2527e59f,SUP-50d93a9f,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-50d93a9f is 0.,Implement tiered vendor contracts to distribute spend concentration risk evenly across suppliers.,Active
RISK-d45f1856,SUP-de1595ef,Country Risk,15.0,Country Risk for supplier SUP-de1595ef is 15.,Conduct thorough due diligence on local government policies and ensure compliance with international standards to mitigate the impact of country risks.,Active
RISK-01c71d61,SUP-de1595ef,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-de1595ef is 0.,Diversify suppliers to reduce dependency on a single source.,Active
RISK-2dfa89ed,SUP-de1595ef,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-de1595ef is 0.,Conduct quarterly financial health assessments on all suppliers to ensure strong credit ratings and stable cash flow.,Active
RISK-021445ef,SUP-de1595ef,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-de1595ef is 0.,Diversify suppliers to reduce spend concentration risk.,Active
RISK-32128c3b,SUP-16b7daaf,Country Risk,0.0,Country Risk for supplier SUP-16b7daaf is 0.,Develop a contingency plan.,Active
RISK-b174c0ea,SUP-16b7daaf,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-16b7daaf is 0.,Diversify suppliers to reduce reliance on single sources and enhance supply chain resilience.,Active
RISK-0d2c0893,SUP-16b7daaf,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-16b7daaf is 0.,Conduct quarterly financial health assessments and diversify supplier base to reduce dependency on any single vendor.,Active
RISK-2dc0bda1,SUP-16b7daaf,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-16b7daaf is 0.,Diversify suppliers to reduce concentration risks.,Active
RISK-4f71a616,SUP-a6bf43b5,Country Risk,15.0,Country Risk for supplier SUP-a6bf43b5 is 15.,Enhance local market intelligence monitoring to mitigate the country risk score of 15.,Active
RISK-5f1b0d49,SUP-a6bf43b5,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-a6bf43b5 is 0.,Diversify suppliers to reduce dependency on single sources.,Active
RISK-83eb608e,SUP-a6bf43b5,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-a6bf43b5 is 0.,Conduct quarterly financial health assessments to identify any deteriorating trends early.,Active
RISK-25cc823a,SUP-a6bf43b5,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-a6bf43b5 is 0.,Diversify suppliers to reduce spend concentration risk.,Active
RISK-915f085d,SUP-f96d9e2a,Country Risk,0.0,Country Risk for supplier SUP-f96d9e2a is 0.,Diversify supply base to reduce dependency on high-risk countries and implement robust monitoring systems.,Active
RISK-859b047d,SUP-f96d9e2a,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-f96d9e2a is 0.,Diversify suppliers to reduce reliance on single sources.,Active
RISK-fb908909,SUP-f96d9e2a,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-f96d9e2a is 0.,Enhance credit monitoring and financial analysis to promptly identify deteriorating supplier financial health.,Active
RISK-ea64f85b,SUP-f96d9e2a,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-f96d9e2a is 0.,Diversify spend across multiple suppliers to reduce dependency on any single vendor.,Active
RISK-be5db626,SUP-dc7200b3,Country Risk,15.0,Country Risk for supplier SUP-dc7200b3 is 15.,Diversify supply chain across multiple countries to reduce dependence on high-risk regions.,Active
RISK-efc1a10f,SUP-dc7200b3,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-dc7200b3 is 0.,Diversify supply chain to include multiple suppliers for critical components.,Active
RISK-57147dc6,SUP-dc7200b3,Financial Health Risk,10.0,Financial Health Risk for supplier SUP-dc7200b3 is 10.,Conduct quarterly financial health assessments and diversify supplier base to reduce exposure from financially unstable vendors.,Active
RISK-a7cea160,SUP-dc7200b3,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-dc7200b3 is 0.,Diversify suppliers to reduce reliance on any single vendor.,Active
RISK-737f6e2f,SUP-31a543b4,Country Risk,15.0,Country Risk for supplier SUP-31a543b4 is 15.,Enhance local compliance monitoring to ensure adherence to regulatory standards and promptly address any deviations.,Active
RISK-bd3df330,SUP-31a543b4,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-31a543b4 is 0.,Diversify suppliers to reduce dependency on single sources.,Active
RISK-82882c08,SUP-31a543b4,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-31a543b4 is 0.,Maintain regular financial health assessments to ensure early detection of potential risks.,Active
RISK-eae1bb7f,SUP-31a543b4,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-31a543b4 is 0.,Implement a diversified procurement strategy to reduce reliance on any single supplier.,Active
RISK-1a35b3cf,SUP-5d66c8e8,Country Risk,0.0,Country Risk for supplier SUP-5d66c8e8 is 0.,Monitor economic indicators and political stability in the country to identify potential risks.,Active
RISK-1ad170cc,SUP-5d66c8e8,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-5d66c8e8 is 0.,Diversify the supplier base to reduce dependency on single sources.,Active
RISK-4afdd827,SUP-5d66c8e8,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-5d66c8e8 is 0.,Enhance financial health assessment processes by conducting quarterly credit checks on suppliers to ensure strong financial stability before entering into contracts.,Active
RISK-46c8aa7a,SUP-5d66c8e8,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-5d66c8e8 is 0.,Diversify suppliers to reduce concentration risk.,Active
RISK-43ed9991,SUP-999a4c8a,Country Risk,0.0,Country Risk for supplier SUP-999a4c8a is 0.,Conduct regular due diligence on local regulations and political stability to ensure compliance and minimize exposure.,Active
RISK-219a1407,SUP-999a4c8a,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-999a4c8a is 0.,Diversify suppliers to reduce reliance on single sources and improve supply chain resilience.,Active
RISK-03262918,SUP-999a4c8a,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-999a4c8a is 0.,Conduct quarterly financial health assessments of the supplier to ensure liquidity and solvency.,Active
RISK-29d0f1dd,SUP-999a4c8a,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-999a4c8a is 0.,"Review and optimize procurement contracts to reduce spend concentration risk, ensuring diversified vendor base and regular financial monitoring.",Active
RISK-e98eb7e0,SUP-6e954ce0,Country Risk,15.0,Country Risk for supplier SUP-6e954ce0 is 15.,Diversify supply chain geographically to reduce dependency on high-risk countries.,Active
RISK-253ccee3,SUP-6e954ce0,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-6e954ce0 is 0.,Diversify suppliers to reduce dependency on single sources.,Active
RISK-073e785c,SUP-6e954ce0,Financial Health Risk,10.0,Financial Health Risk for supplier SUP-6e954ce0 is 10.,Conduct thorough due diligence on financial statements and credit history before entering contracts.,Active
RISK-52fe44af,SUP-6e954ce0,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-6e954ce0 is 0.,Diversify suppliers across geographies to reduce concentration risks.,Active
RISK-f8cf8116,SUP-5ea4afd1,Country Risk,0.0,Country Risk for supplier SUP-5ea4afd1 is 0.,Monitor economic stability and regulatory changes in the country to ensure continued compliance and minimize exposure.,Active
RISK-5429e843,SUP-5ea4afd1,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-5ea4afd1 is 0.,Diversify suppliers to reduce reliance on any single source.,Active
RISK-a93324da,SUP-5ea4afd1,Financial Health Risk,25.0,Financial Health Risk for supplier SUP-5ea4afd1 is 25.,Conduct quarterly financial health assessments and maintain diversified sourcing to mitigate the impact of potential supplier financial health risks.,Active
RISK-bf3dd72c,SUP-5ea4afd1,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-5ea4afd1 is 0.,Implement quarterly spend concentration reviews to ensure adherence to budget limits and promptly address deviations.,Active
RISK-c66e6c18,SUP-0ad78723,Country Risk,15.0,Country Risk for supplier SUP-0ad78723 is 15.,Conduct regular assessments of local regulatory environments to ensure compliance and mitigate potential legal risks associated with operating in the country scoring 15.,Active
RISK-5e502a24,SUP-0ad78723,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-0ad78723 is 0.,Diversify suppliers to reduce dependency on single sources.,Active
RISK-937a5daf,SUP-0ad78723,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-0ad78723 is 0.,Conduct quarterly financial health assessments and diversify supplier base to reduce financial health risks.,Active
RISK-8afc06d1,SUP-0ad78723,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-0ad78723 is 0.,Diversify suppliers to reduce reliance on a single provider.,Active
RISK-4e5de159,SUP-09f7154e,Country Risk,0.0,Country Risk for supplier SUP-09f7154e is 0.,Conduct quarterly reviews of the country's regulatory environment to ensure compliance and adapt strategies accordingly.,Active
RISK-995b1385,SUP-09f7154e,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-09f7154e is 0.,Diversify the supply base to reduce dependency on any single vendor.,Active
RISK-e5ce426d,SUP-09f7154e,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-09f7154e is 0.,Develop a contingency plan.,Active
RISK-f1b34e1d,SUP-09f7154e,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-09f7154e is 0.,Diversify suppliers to reduce spend concentration risk.,Active
RISK-2140822e,SUP-b52b8a53,Country Risk,15.0,Country Risk for supplier SUP-b52b8a53 is 15.,Conduct regular geopolitical assessments to monitor country risk scores and enhance supply chain resilience.,Active
RISK-e211edf3,SUP-b52b8a53,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-b52b8a53 is 0.,Diversify suppliers to reduce dependency on single sources.,Active
RISK-d1a918d4,SUP-b52b8a53,Financial Health Risk,25.0,Financial Health Risk for supplier SUP-b52b8a53 is 25.,Conduct quarterly financial health assessments and diversify payment terms to mitigate the impact of potential financial health risks from suppliers.,Active
RISK-87a59366,SUP-b52b8a53,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-b52b8a53 is 0.,Diversify suppliers to reduce concentration risk.,Active
RISK-218fcc7f,SUP-3b8ec792,Country Risk,0.0,Country Risk for supplier SUP-3b8ec792 is 0.,Conduct thorough due diligence on local regulatory compliance to mitigate country risk.,Active
RISK-5e72a507,SUP-3b8ec792,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-3b8ec792 is 0.,Diversify supply base to reduce dependency on single suppliers.,Active
RISK-3d7e7b6f,SUP-3b8ec792,Financial Health Risk,10.0,Financial Health Risk for supplier SUP-3b8ec792 is 10.,Conduct quarterly financial health assessments and diversify suppliers to mitigate the high financial health risk score of 10.,Active
RISK-6b140013,SUP-3b8ec792,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-3b8ec792 is 0.,Implement a diversified procurement strategy to reduce concentration in any single supplier.,Active
RISK-b4806a78,SUP-c296383d,Country Risk,15.0,Country Risk for supplier SUP-c296383d is 15.,Conduct thorough due diligence on suppliers operating in countries with high country_risk scores to ensure compliance and implement stricter monitoring processes.,Active
RISK-debfe3e4,SUP-c296383d,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-c296383d is 0.,Diversify suppliers to reduce dependency on single sources.,Active
RISK-4a99f330,SUP-c296383d,Financial Health Risk,10.0,Financial Health Risk for supplier SUP-c296383d is 10.,Conduct thorough financial health assessments and diversify supply chain to mitigate financial health risks.,Active
RISK-89d9111c,SUP-c296383d,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-c296383d is 0.,Diversify suppliers to reduce spend concentration risk.,Active
RISK-ae2576bf,SUP-fd33c2ae,Country Risk,0.0,Country Risk for supplier SUP-fd33c2ae is 0.,Monitor the political stability and regulatory environment in the country to ensure compliance and minimize exposure.,Active
RISK-c63779ed,SUP-fd33c2ae,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-fd33c2ae is 0.,Diversify suppliers to reduce dependency on single sources.,Active
RISK-bfdf5ae0,SUP-fd33c2ae,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-fd33c2ae is 0.,Conduct quarterly financial health assessments and maintain diversified vendor relationships to mitigate potential risks.,Active
RISK-7ff783f4,SUP-fd33c2ae,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-fd33c2ae is 0.,Implement quarterly financial audits to enhance oversight of high spend concentrations.,Active
RISK-7bb58824,SUP-c4566fea,Country Risk,15.0,Country Risk for supplier SUP-c4566fea is 15.,"Conduct thorough due diligence on suppliers in countries with high-risk scores to ensure compliance with ethical standards and regulatory requirements, including regular audits and performance reviews.",Active
RISK-a3f6cf55,SUP-c4566fea,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-c4566fea is 0.,Diversify suppliers to reduce dependency on single sources.,Active
RISK-758540d8,SUP-c4566fea,Financial Health Risk,10.0,Financial Health Risk for supplier SUP-c4566fea is 10.,Conduct regular financial health assessments of the supplier to ensure stable cash flow and strong credit ratings.,Active
RISK-28a92409,SUP-c4566fea,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-c4566fea is 0.,Diversify suppliers to reduce dependency on any single vendor.,Active
RISK-2282c311,SUP-9bda861c,Country Risk,15.0,Country Risk for supplier SUP-9bda861c is 15.,"Conduct thorough due diligence on suppliers in high-risk countries by reviewing their political exposure, regulatory environment, and local partnerships to ensure alignment with our ESG policies.",Active
RISK-97395dd7,SUP-9bda861c,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-9bda861c is 0.,Diversify supply chain to reduce reliance on single sources and improve resilience.,Active
RISK-9316f7f0,SUP-9bda861c,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-9bda861c is 0.,Conduct quarterly financial health assessments of the supplier to ensure they maintain strong liquidity ratios.,Active
RISK-b2e98991,SUP-9bda861c,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-9bda861c is 0.,Diversify suppliers to reduce spend concentration risk.,Active
RISK-aa2ed0b5,SUP-eeacc84e,Country Risk,15.0,Country Risk for supplier SUP-eeacc84e is 15.,Diversify supply base by establishing relationships with suppliers in lower-risk countries to reduce dependency on high-risk country operations.,Active
RISK-bbd3b963,SUP-eeacc84e,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-eeacc84e is 0.,Diversify the supplier base to reduce reliance on any single source.,Active
RISK-f93888f5,SUP-eeacc84e,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-eeacc84e is 0.,Conduct quarterly financial health assessments and maintain diversified supplier base to mitigate financial health risks.,Active
RISK-7778a589,SUP-eeacc84e,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-eeacc84e is 0.,Diversify suppliers to reduce dependency on high-risk vendors.,Active
RISK-79ab2a0c,SUP-1be22e89,Country Risk,15.0,Country Risk for supplier SUP-1be22e89 is 15.,"Conduct a thorough review of local regulations, political stability, and economic conditions in the country to ensure alignment with our business objectives.",Active
RISK-4c29c2da,SUP-1be22e89,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-1be22e89 is 0.,Diversify suppliers to reduce dependency on single sources.,Active
RISK-79cba0f5,SUP-1be22e89,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-1be22e89 is 0.,Monitor financial statements closely and implement liquidity stress tests to ensure supplier's strong financial health.,Active
RISK-03ee1888,SUP-1be22e89,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-1be22e89 is 0.,Diversify suppliers to reduce concentration risk.,Active
RISK-309aafe5,SUP-329c9fd8,Country Risk,15.0,Country Risk for supplier SUP-329c9fd8 is 15.,Develop a contingency plan.,Active
RISK-e6f6f234,SUP-329c9fd8,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-329c9fd8 is 0.,Diversify supply chain to reduce reliance on single source suppliers.,Active
RISK-d3a1eaae,SUP-329c9fd8,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-329c9fd8 is 0.,Conduct quarterly financial health assessments to identify potential risks early.,Active
RISK-e9cc9510,SUP-329c9fd8,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-329c9fd8 is 0.,Diversify procurement sources to reduce reliance on any single supplier.,Active
RISK-5aaebbe3,SUP-79a6f4b4,Country Risk,0.0,Country Risk for supplier SUP-79a6f4b4 is 0.,Monitor geopolitical stability and regulatory changes in the country to ensure compliance and adjust supply chain strategies accordingly.,Active
RISK-acff6027,SUP-79a6f4b4,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-79a6f4b4 is 0.,Develop a contingency plan.,Active
RISK-a3d684f8,SUP-79a6f4b4,Financial Health Risk,10.0,Financial Health Risk for supplier SUP-79a6f4b4 is 10.,Enhance financial health assessments by regularly reviewing the supplier's liquidity ratios and conducting periodic credit checks to identify potential payment defaults.,Active
RISK-f66f2523,SUP-79a6f4b4,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-79a6f4b4 is 0.,Diversify suppliers to reduce concentration risk.,Active
RISK-b62039ea,SUP-3ab4b4af,Country Risk,15.0,Country Risk for supplier SUP-3ab4b4af is 15.,Conduct thorough due diligence on suppliers in high-risk countries to assess their political stability and regulatory compliance.,Active
RISK-a9393601,SUP-3ab4b4af,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-3ab4b4af is 0.,Diversify suppliers to reduce dependency on any single source.,Active
RISK-61247563,SUP-3ab4b4af,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-3ab4b4af is 0.,Conduct quarterly financial health assessments to identify potential risks early and ensure timely remediation.,Active
RISK-08f23de8,SUP-3ab4b4af,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-3ab4b4af is 0.,Diversify suppliers to reduce concentration risk and enhance supply chain resilience.,Active
RISK-469c2845,SUP-f111fdd1,Country Risk,15.0,Country Risk for supplier SUP-f111fdd1 is 15.,Enhance compliance monitoring and reporting mechanisms to ensure suppliers adhere to local regulations in high-risk countries.,Active
RISK-78b81f1c,SUP-f111fdd1,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-f111fdd1 is 0.,Diversify suppliers to reduce dependency on a single source.,Active
RISK-618ea7cd,SUP-f111fdd1,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-f111fdd1 is 0.,Conduct quarterly financial health assessments to ensure suppliers maintain strong liquidity and solvency.,Active
RISK-37574c75,SUP-f111fdd1,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-f111fdd1 is 0.,"Diversify procurement sources to reduce reliance on any single supplier, thereby minimizing spend concentration risk.",Active
RISK-45d354fc,SUP-a18388f5,Country Risk,15.0,Country Risk for supplier SUP-a18388f5 is 15.,Conduct regular country risk assessments to identify potential vulnerabilities and develop contingency plans.,Active
RISK-46216418,SUP-a18388f5,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-a18388f5 is 0.,Diversify suppliers to reduce dependency on single sourcing.,Active
RISK-d4878e2f,SUP-a18388f5,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-a18388f5 is 0.,Conduct quarterly financial health assessments and diversify vendor base to reduce financial health risks.,Active
RISK-b1a06898,SUP-a18388f5,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-a18388f5 is 0.,Diversify suppliers to reduce spend concentration risk.,Active
RISK-66005322,SUP-62adab5f,Country Risk,15.0,Country Risk for supplier SUP-62adab5f is 15.,Conduct thorough due diligence on local regulatory environment and political stability in the country to ensure alignment with company's ethical standards and business objectives.,Active
RISK-d5d2c5a2,SUP-62adab5f,Single Sourcing Risk,25.0,Single Sourcing Risk for supplier SUP-62adab5f is 25.0.,Develop a contingency plan.,Active
RISK-2c130608,SUP-62adab5f,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-62adab5f is 0.,Conduct quarterly financial health assessments on all suppliers to monitor liquidity ratios and debt levels.,Active
RISK-97ed7bd2,SUP-62adab5f,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-62adab5f is 0.,Implement real-time spend monitoring and regular audits to ensure budget adherence and promptly address any deviations.,Active
RISK-beac61c5,SUP-460a19bc,Country Risk,15.0,Country Risk for supplier SUP-460a19bc is 15.,Conduct thorough due diligence on suppliers in countries with high risk scores to ensure compliance with local regulations and ethical standards.,Active
RISK-7bb12985,SUP-460a19bc,Single Sourcing Risk,10.0,Single Sourcing Risk for supplier SUP-460a19bc is 10.0.,Diversify suppliers to reduce dependency on single source and improve resilience.,Active
RISK-e45fe665,SUP-460a19bc,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-460a19bc is 0.,Regularly review the financial health metrics and credit ratings of suppliers to ensure they maintain strong financial stability.,Active
RISK-c7d855d7,SUP-460a19bc,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-460a19bc is 0.,Diversify suppliers across multiple regions to reduce concentration risks.,Active
RISK-6c698c50,SUP-9ff94fc5,Country Risk,0.0,Country Risk for supplier SUP-9ff94fc5 is 0.,"Conduct thorough due diligence on local regulations, political stability, and business environment to ensure compliance and minimize operational risks in the selected country.",Active
RISK-070b02c4,SUP-9ff94fc5,Single Sourcing Risk,25.0,Single Sourcing Risk for supplier SUP-9ff94fc5 is 25.0.,"Diversify suppliers to reduce dependency on single source, enhancing supply chain resilience and minimizing potential disruptions.",Active
RISK-de97e25d,SUP-9ff94fc5,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-9ff94fc5 is 0.,Enhance financial health by diversifying revenue streams through new market expansions and cost optimization measures.,Active
RISK-3c99bfc0,SUP-9ff94fc5,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-9ff94fc5 is 0.,Diversify suppliers to reduce spend concentration risk.,Active
RISK-e83628a5,SUP-8cce4e62,Country Risk,15.0,Country Risk for supplier SUP-8cce4e62 is 15.,Conduct comprehensive due diligence on local regulations and political stability to ensure compliance and mitigate potential disruptions.,Active
RISK-3775af57,SUP-8cce4e62,Single Sourcing Risk,25.0,Single Sourcing Risk for supplier SUP-8cce4e62 is 25.0.,Diversify suppliers to reduce dependency on single sources.,Active
