vendorCode,legalName,address,country,contactPerson,isActive,financialHealth,riskScore
SUP-99811f39,Luxuriance Supplies SA,"51, avenue Humbert 26496 GuichardVille",Luxembourg,Jean-Pierre Moreau,True,High,25.0
SUP-6cb4883c,Vertriebs GmbH,Kösterstraße 2 34167 Aachen,Germany,Anna Müller,True,Low,15.0
SUP-df5351b0,Společnost ProTeplice,Čestmírova 3 339 86 Teplice,Czech Republic,Jan Novák,True,Low,0.0
SUP-6485ce65,Gotha Industrial Supplies GmbH,Klotzplatz 21/43 51728 Gotha,Germany,Anna Schmidt,True,Medium,25.0
SUP-f5f440cd,Latvia Tech Solutions Ltd.,"2843 Priede Plaza Tomsshire, TN 69104",Latvia,Anna Petronijevs,False,Low,0.0
SUP-481ed54d,Górnica Export Spółka z o.o.,ul. Górnicza 044 80-345 Wałcz,Poland,Anna Nowak,True,Low,0.0
SUP-04fb54b3,Suppliers & Distributors Chile,"Juan Torres 1859 Of. 2406 Chile Chico, Región de Aysén del General Carlos Ibáñez del Campo",Chile,María Fernanda Sánchez,True,High,40.0
SUP-71835ef8,Eichstätter Vertriebs GmbH,Gabriel-Freudenberger-Allee 12-85 82850 Eichstätt,Germany,Anna Müller,True,Low,15.0
SUP-64bd9887,Suppliers GmbH & Co. KG,Birgid-Hande-Straße 8-3 57337 Oberviechtach,Germany,Birgid Hande,True,Medium,25.0
SUP-92d0da48,LuxuryTech Solutions S.A.,"4, boulevard de Durand 68535 Munoz",Luxembourg,Jean-Pierre Dubois,False,Low,0.0
SUP-58224553,Tolmin Trade Supplies d.o.o.,Suhadolčanova ulica 70 0414 Tolmin,Slovenia,Janez Novak,True,Low,0.0
SUP-ae2a9fc5,Suppliers & Associates S.A.,"Callejón de Cebrián Pereira 93 Navarra, 34939",Uruguay,Luisa Fernández de Rivera,True,High,40.0
SUP-ace73ca2,TechSupply Solutions GmbH,Arzu-Junitz-Platz 4/7 64458 Gera,Germany,Anna Schneider,True,Medium,25.0
SUP-17196e8b,Mellrichstadt Supplies GmbH,Stadelmannplatz 3 98460 Mellrichstadt,Germany,Anna Schmidt,True,Low,15.0
SUP-ae63189e,Supremo Distribución S.A.,"Urbanización de Amílcar Batlle 2 Palencia, 24825",Venezuela,Isabel Fernández López,True,High,40.0
SUP-44beba7f,Suppliers of Quality Products S.A.,"Circunvalación Norte Ocasio 371 612 San Conchita de la Montaña, MOR 57742",Mexico,José Miguel Fernández López,True,Medium,25.0
SUP-25a08f8d,GreenTech Solutions NV,Jenniferboulevard 74 7367 VH Grashoek,Netherlands,Marcel Jansen,True,Low,0.0
SUP-ac85c96c,Estonian Precision Components Ltd,"0736 Nadežda Row Apt. 393 Kivistikshire, AR 06031",Estonia,Andrey Ivanovich Petrov,True,Medium,10.0
SUP-8b893a5e,EcoHarvest Supplies Ltd,44 Rayel Street T65 X6WV Caomhan Ville,Ireland,Margaret O'Sullivan,True,Low,0.0
SUP-8f16b703,TechInnovations GmbH,Kadestraße 607 27963 Sebnitz,Germany,Anna Müller,True,Low,15.0
SUP-25297dff,Empresa de Servicios Innovadores S.L.,"Calle de Josep Villalonga 93 Puerta 9 Lugo, 31136",Spain,Carlos Méndez,True,High,25.0
SUP-d31dcd2f,Vietnam Precision Components Ltd.,"27 Lê Làng Thành phố JaneHuyện, 696864",Vietnam,Jane Huy,True,Low,15.0
SUP-f69864c0,Swiss Precision Components AG,Meierstrasse 2 2854 Carouge,Switzerland,Ludwig Fischer,True,Low,0.0
SUP-2bcb64b9,InovaTech s.r.o.,K Vodě 1 301 76 Světlá nad Sázavou,Czech Republic,Jana Novak,True,Low,0.0
SUP-d4b3882d,OptiTech Solutions GmbH,Annekatrin-Staude-Allee 1-1 22087 Hünfeld,Germany,Annekatrin Staude,True,Medium,25.0
SUP-49439d6f,GreenTech Supplies Ltd.,06 Tracy Street H12 YT7E Tonicha Ville,Ireland,Emily O'Connor,True,Low,0.0
SUP-5fc8f158,Especialidades del Valle,"Via de Esteban Narváez 974 Cuenca, 04878",Peru,Juan Carlos Mendizábal,True,High,40.0
SUP-935de865,Grafenauer Rohstoffe GmbH,Carmine-Förster-Allee 1-6 04892 Grafenau,Germany,Anna Müller,True,Low,15.0
SUP-db22ca64,OptiTech Solutions GmbH,Hethurgasse 39 57107 Demmin,Germany,Anna Müller,True,Low,15.0
SUP-f37582a8,OptiChem Solutions s.r.o.,Matenská 404 287 90 Staňkov,Czech Republic,Jana Novak,True,Medium,10.0
SUP-6fb663c2,Tunturitalo Oy,Jätkäsaarenpolku 35 28903 Liperi,Finland,Mikko Kallio,True,Medium,10.0
SUP-307c7e0f,TechSupply GmbH,Ullrichgasse 828 41699 Erbisdorf,Germany,Anna Müller,True,Low,15.0
SUP-dd791f34,Vertriebs GmbH & Co KG,Carin-Nerger-Ring 6/4 88513 Gotha,Germany,Lars Becker,True,Low,15.0
SUP-052180d7,Hydraulic Solutions A/S,Sætersdalgade 74 4584 Lundby,Denmark,Johan Nielsen,True,Medium,10.0
SUP-b84bb2c6,EcoSupply GmbH,Rörrichtplatz 96-49 14986 Königs Wusterhausen,Germany,Julia Schmidt,True,Low,15.0
SUP-3c5f2aeb,Meißen Innovations GmbH,Hörleweg 7/7 94481 Meißen,Germany,Anna Müller,True,High,40.0
SUP-142893ff,TechSupply GmbH,Girschnerstr. 4-4 11183 Ludwigslust,Germany,Anna Müller,True,Low,15.0
SUP-8ca8bae7,Suppliers GmbH,Christl-Hofmann-Weg 9-9 78310 Klötze,Germany,Anna Becker,True,Low,15.0
SUP-7562c21f,Vertrauliche Buchhaltung GmbH,Steuerallee 4/5 54690 Stadtroda,Germany,Anna Müller,True,Medium,25.0
SUP-9ec2ea9a,Hersteltechnik GmbH,Yilmaz-Spieß-Ring 4368 95138 Aue,Germany,Anna Meier,True,High,40.0
SUP-052690a9,Astra Manufacturing Indonesia,"Jl. KH Amin Jasuta No. 1 Bukittinggi, Maluku 84467",Indonesia,Dr. Agustinus Prawiro M.Si.,True,Low,30.0
SUP-7f19809c,TechSupply Solutions GmbH,Schülergasse 8/9 91037 Biedenkopf,Germany,Anna Müller,True,Low,15.0
SUP-f7b28c6b,Herstellers GmbH,Jose-Pechel-Ring 9-7 05722 Sankt Goar,Germany,Anna Wagner,True,Medium,25.0
SUP-2e75bb4f,Eckhaus GmbH,Eckbauerring 628 23642 Hainichen,Germany,Anna Müller,True,High,40.0
SUP-4228189e,Hochleistungstechnik GmbH,Cosimo-Meister-Gasse 8 97942 Säckingen,Germany,Anna Becker,True,Low,15.0
SUP-f374e72a,Innovative Solutions GmbH,Noackstr. 5/8 62577 Mettmann,Germany,Anna Becker,True,Low,15.0
SUP-3dbd3b20,Hersteller GmbH & Co KG,Preißweg 1/4 99031 Badibling,Germany,Anna Müller,True,Low,15.0
SUP-db388ee6,Naturprodukter AB,Granvägen 20 19468 Jönköping,Sweden,Lars Eriksson,True,High,25.0
SUP-6b696345,OptiTech Solutions GmbH,Döringallee 528 60905 Karlsruhe,Germany,Anna Müller,True,Low,15.0
